267,1,80,872,321,298,1,1,1
267,2,786,1402,456,212,1,1,1
267,3,2350,204,193,142,1,1,1
267,4,2958,681,136,118,1,1,1
267,5,0,1882,411,249,1,1,1
267,6,2915,879,206,122,1,1,1
267,7,3200,934,179,153,1,0,1
268,1,69,885,316,303,1,1,1
268,2,779,1423,463,215,1,1,1
268,3,2350,214,192,145,1,1,1
268,4,2962,698,140,114,1,1,1
268,5,0,1907,401,243,1,1,1
268,6,2921,895,205,118,1,1,1
268,7,3209,949,172,144,1,0,1
269,1,59,897,316,304,1,1,1
269,2,784,1442,451,222,1,1,1
269,3,2346,226,198,145,1,1,1
269,4,2963,710,149,110,1,1,1
269,5,0,1940,388,218,1,1,1
269,6,2925,911,219,122,1,1,1
269,7,3214,965,175,140,1,0,1
270,1,36,911,328,303,1,1,1
270,2,774,1466,460,226,1,1,1
270,3,2345,234,207,148,1,1,1
270,4,2962,722,155,120,1,1,1
270,5,0,1968,377,191,1,1,1
270,6,2929,926,214,128,1,1,1
270,7,3218,980,173,135,1,0,1
271,1,27,925,323,306,1,1,1
271,2,769,1481,461,240,1,1,1
271,3,2343,243,216,142,1,1,1
271,4,2964,735,161,120,1,1,1
271,5,0,1993,363,166,1,1,1
271,6,2934,941,210,127,1,1,1
271,7,3220,995,173,141,1,0,1
272,1,26,940,309,306,1,1,1
272,2,759,1508,466,238,1,1,1
272,3,2344,253,222,141,1,1,1
272,4,2967,751,161,114,1,1,1
272,5,0,2021,350,138,1,1,1
272,6,2937,957,218,124,1,1,1
272,7,3222,1007,179,147,1,0,1
273,1,10,960,311,304,1,1,1
273,2,739,1530,481,246,1,1,1
273,3,2353,263,218,137,1,1,1
273,4,2974,764,164,115,1,1,1
273,5,0,2045,345,114,1,1,1
273,6,2944,969,215,127,1,1,1
273,7,3229,1025,178,147,1,0,1
274,1,1,980,305,308,1,1,1
274,2,728,1557,489,235,1,1,1
274,3,2358,271,215,149,1,1,1
274,4,2981,778,161,116,1,1,1
274,6,2949,986,208,122,1,1,1
274,7,3232,1039,181,156,1,0,1
275,1,0,990,294,311,1,1,1
275,2,723,1582,491,231,1,1,1
275,3,2365,279,204,145,1,1,1
275,4,2988,792,158,114,1,1,1
275,6,2957,1004,211,116,1,1,1
275,7,3230,1053,186,162,1,0,1
276,1,0,1001,279,320,1,1,1
276,2,710,1601,500,234,1,1,1
276,3,2373,288,194,140,1,1,1
276,4,2990,805,159,119,1,1,1
276,6,2959,1018,211,117,1,1,1
276,7,3227,1073,195,166,1,0,1
277,1,0,1017,267,322,1,1,1
277,2,720,1622,486,233,1,1,1
277,3,2386,297,184,138,1,1,1
277,4,2991,818,161,126,1,1,1
277,6,2963,1030,207,117,1,1,1
277,7,3224,1094,204,162,1,0,1
278,1,0,1027,254,331,1,1,1
278,2,717,1647,484,232,1,1,1
278,3,2390,307,179,137,1,1,1
278,4,2998,831,159,124,1,1,1
278,6,2966,1048,207,115,1,1,1
278,7,3231,1107,207,165,1,0,1
279,1,0,1040,239,337,1,1,1
279,2,714,1671,483,236,1,1,1
279,3,2396,318,179,135,1,1,1
279,4,3005,845,159,120,1,1,1
279,6,2975,1063,204,116,1,1,1
279,7,3230,1131,229,170,1,0,1
280,1,0,1051,225,347,1,1,1
280,2,713,1693,480,245,1,1,1
280,3,2400,328,180,134,1,1,1
280,4,3012,857,158,126,1,1,1
280,6,2981,1077,207,119,1,1,1
280,7,3229,1151,229,166,1,0,1
281,1,0,1067,208,347,1,1,1
281,2,713,1716,470,249,1,1,1
281,3,2397,336,192,132,1,1,1
281,4,3018,870,158,127,1,1,1
281,6,2988,1095,211,120,1,1,1
281,7,3232,1173,225,162,1,0,1
282,1,0,1083,194,344,1,1,1
282,2,714,1744,467,248,1,1,1
282,3,2409,344,182,130,1,1,1
282,4,3021,886,160,123,1,1,1
282,6,2994,1111,215,123,1,1,1
